Date,Open,High,Low,Close,Volume
2023-06-15,3006.8016396344283,3008.793544788029,2974.0958056287536,2979.932861328125,2273810
2023-06-16,2962.05090181085,2964.27443415416,2924.0640119221275,2941.574951171875,4156189
2023-06-19,2955.565603365162,2978.6356017646413,2941.667959462191,2974.46630859375,1468186
2023-06-20,2977.8017372658956,2994.942164191664,2965.8034836575825,2990.494873046875,1528452
2023-06-21,3011.156084779186,3021.718203335577,2987.020465383,3018.75341796875,1645987
2023-06-22,3020.4211763137832,3027.508883993475,2992.7186308509686,3000.501220703125,1529603
2023-06-23,2999.389578963673,3010.600209425588,2973.308197955416,2979.979248046875,1119505
2023-06-26,2969.4634688796755,2977.7093143980414,2939.8151596740126,2955.241455078125,1978803
2023-06-27,2966.683667337439,2973.771375126299,2948.431473899292,2962.37548828125,863542
2023-06-28,2972.242568780507,2993.5059172295346,2958.7154391788054,2979.14501953125,1575872
2023-06-30,2983.3607516063857,3066.7466111233343,2977.894435739723,3059.566162109375,2672406
2023-07-03,3070.7310329464513,3074.9003264457365,3028.5284723972923,3031.817626953125,1687264
2023-07-04,3048.2163572037293,3071.379095480353,3036.4497313989273,3065.68115234375,1656681
2023-07-05,3076.0121910370362,3084.350778301896,3062.114545595604,3075.9658203125,1453008
2023-07-06,3063.5506768174178,3083.8411486556433,3059.335012466021,3078.698974609375,1848238
2023-07-07,3059.3348872388206,3110.2001769257495,3059.3348872388206,3084.582275390625,1789326
2023-07-10,3080.412670096129,3080.412670096129,3025.238980370586,3031.492919921875,1407431
2023-07-11,3052.849119462837,3052.849119462837,3021.162536512691,3031.909912109375,1110172
2023-07-12,3039.8314402630454,3047.4287732769135,3011.2487565769347,3020.328369140625,1515240
2023-07-13,3042.6575935366886,3119.974776122977,3032.2343603066984,3095.0517578125,4585146
2023-07-14,3117.704859945182,3265.8075126422405,3105.660234929049,3256.35693359375,6306101
2023-07-17,3252.0484312581953,3289.0160708092913,3221.5199876631723,3235.09326171875,2743228
2023-07-18,3220.5476611275017,3265.0201259531977,3210.356054604946,3239.865478515625,2600090
2023-07-19,3242.7833388739086,3258.395114856219,3192.4274556893783,3215.034423828125,2405370
2023-07-20,3207.649828777992,3231.6157541053626,3191.8117167460496,3217.124755859375,1715404
2023-07-21,3162.0865373821553,3190.743550376295,3120.2851854216624,3128.877685546875,3770223
2023-07-24,3140.6751177427,3170.818493731305,3132.4078294134024,3153.44775390625,1680132
2023-07-25,3156.0015544155326,3164.640544425158,3139.9312141674013,3157.5341796875,1272980
2023-07-26,3158.649818156021,3177.6926576909354,3144.3908207651316,3147.456298828125,1066803
2023-07-27,3153.632989545926,3169.1458889102455,3144.4367836891192,3155.4443359375,1701769
2023-07-28,3144.3903763886888,3152.47192520402,3094.228757385738,3116.894287109375,2599831
2023-07-31,3125.2546433386306,3183.0798446211247,3122.003427202266,3178.24951171875,2743678
2023-08-01,3172.2578281403635,3214.0591758025353,3172.2578281403635,3206.67431640625,1956167
2023-08-02,3190.7899244338078,3201.4260004622265,3170.957642026737,3196.084716796875,1914899
2023-08-03,3176.9024561267456,3189.21063084712,3128.59867609207,3158.277587890625,2026351
2023-08-04,3159.4852515788793,3224.2773416333084,3159.4852515788793,3198.778564453125,2248493
2023-08-07,3208.439595086255,3240.069331017348,3196.642369656952,3236.400146484375,1853889
2023-08-08,3236.4001647193836,3241.8806958970467,3210.9013844925967,3223.90625,1634225
2023-08-09,3218.6109063732065,3220.561726717622,3181.5936254249154,3216.381591796875,1794589
2023-08-10,3204.770253471881,3218.6110545764855,3186.2383664939557,3197.431884765625,1096701
2023-08-11,3193.7161307988767,3220.236583715237,3171.329094804473,3203.655517578125,1679974
2023-08-14,3196.1311156291627,3209.414700848217,3168.5422705045635,3204.630859375,1190425
2023-08-16,3204.7699265389706,3219.632627647557,3191.0218826561636,3212.57275390625,1328445
2023-08-17,3209.414401450966,3214.802175760113,3170.5855508893633,3191.53271484375,1843241
2023-08-18,3167.6134698101937,3167.6134698101937,3117.9163083336994,3127.762939453125,2526749
2023-08-21,3135.101577474396,3167.3815122350584,3132.314820516641,3159.857177734375,1375579
2023-08-22,3158.323967324431,3168.5420742775395,3125.8583001353277,3141.74267578125,1222012
2023-08-23,3147.1768246983743,3160.1816876103508,3136.0297993452514,3156.6982421875,1330046
2023-08-24,3165.7556764722162,3170.4467623713062,3137.9810915042904,3146.945068359375,1152881
2023-08-25,3135.1011349979294,3145.133503987289,3112.110393341278,3140.953369140625,1158046
2023-08-28,3152.7508133982506,3152.7508133982506,3121.2605527357937,3135.6123046875,1037485
2023-08-29,3140.7212722469335,3148.6170828467652,3125.8120786392947,3136.16943359375,944517
2023-08-30,3156.466648681639,3165.8488209595616,3142.5793554875713,3149.917724609375,1188200
2023-08-31,3159.2532391652235,3174.487418701091,3105.979648519252,3118.195068359375,3417652
2023-09-01,3126.741001486648,3148.1061360779117,3118.1949930075107,3139.002685546875,1277950
2023-09-04,3137.8883029323442,3188.839599513233,3130.5034424257988,3175.509521484375,1828332
2023-09-05,3176.902652296802,3201.9834627096716,3163.1081158549873,3185.588134765625,1501842
2023-09-06,3189.907535196781,3199.103741686018,3156.5594370607423,3186.098876953125,1314818
2023-09-07,3186.9351937219517,3214.059581829734,3179.0393826105205,3209.647216796875,1885092
2023-09-08,3209.6472526429598,3218.704212548399,3190.88313491419,3197.24609375,1518917
2023-09-11,3215.917208433736,3237.9325408464088,3200.1255872484753,3233.241455078125,1783604
2023-09-12,3243.7846648081127,3334.725730646849,3235.424395053453,3326.272705078125,4476016
2023-09-13,3317.2626390094715,3333.750950799181,3293.0177630715493,3314.24365234375,1754929
2023-09-14,3316.286746985026,3341.9712621721756,3293.5747267257207,3306.99755859375,2604721
2023-09-15,3314.243274416184,3350.935569707804,3309.2269764561156,3342.52880859375,2952897
2023-09-18,3325.5759111878315,3362.0359753584007,3321.117055435085,3349.820556640625,1395753
2023-09-20,3325.52964476678,3367.3309950501616,3325.52964476678,3349.72802734375,1649396
2023-09-21,3333.472111558681,3348.7527827829417,3277.2260243157334,3330.453125,2004073
2023-09-22,3329.2453693121192,3375.45908502732,3311.6424013468136,3347.49853515625,1989083
2023-09-25,3346.430018524426,3362.686097726141,3305.6968379242585,3322.8818359375,1238778
2023-09-26,3314.0114097379874,3339.4172075080314,3284.6574795566185,3330.82470703125,1726062
2023-09-27,3334.818899053876,3357.112952975128,3302.956934967385,3334.168701171875,1541134
2023-09-28,3344.10787733265,3346.7088954834967,3276.6220132450994,3285.353759765625,1755753
2023-09-29,3285.7717693049917,3314.8004838838106,3256.371577894297,3277.783203125,2243791
2023-10-03,3282.985396320475,3282.985396320475,3232.731015841526,3264.08203125,1948148
2023-10-04,3238.4903657742166,3295.804622906508,3230.1300947465506,3286.283203125,1788138
2023-10-05,3301.37771461772,3366.4020365150864,3298.776696384458,3334.215087890625,2990768
2023-10-06,3335.747772538649,3376.573712868575,3320.931561429297,3363.98681640625,2075691
2023-10-09,3385.955644430069,3417.492393516818,3372.9042894426652,3379.73193359375,4233074
2023-10-10,3381.3114396957885,3388.696299926251,3345.3623220029544,3370.953857421875,1848148
2023-10-11,3390.554184152061,3390.554184152061,3348.7528311967617,3353.304443359375,2426417
2023-10-12,3320.885072209126,3333.56472449737,3286.6080554652567,3290.74169921875,4241281
2023-10-13,3279.083361490563,3322.7425450571513,3274.4387674941177,3317.02978515625,2890357
2023-10-16,3312.5247424765194,3320.5598001135572,3268.958537503607,3273.556640625,1671104
2023-10-17,3279.083534791144,3282.938457297201,3254.3279381964744,3257.764892578125,1672065
2023-10-18,3261.434137513778,3272.302442885238,3236.353328139562,3239.372314453125,1408245
2023-10-19,3231.223125172474,3238.0684358855883,3214.8317596869083,3218.32421875,1514545
2023-10-20,3213.434955097758,3259.1629792610242,3207.5211938456205,3254.552978515625,1481211
2023-10-23,3234.4829267293885,3240.0242499313185,3167.7071513441997,3175.94921875,1106272
2023-10-25,3157.6488052225827,3189.779430139314,3145.2621710118374,3157.2763671875,1518537
2023-10-26,3136.740771569839,3142.002652711776,3101.3039051963924,3107.59033203125,1984471
2023-10-27,3119.929742404115,3131.1056101381,3107.822552358965,3120.814453125,1108851
2023-10-30,3119.9304717166356,3150.5245077395016,3104.7964806224877,3146.519775390625,910972
2023-10-31,3165.5653292410716,3165.5653292410716,3119.977136155537,3137.392822265625,999811
2023-11-01,3124.5869734096973,3140.0470177894435,3083.608783594488,3101.9091796875,1563475
2023-11-02,3113.5971840186144,3144.0979943996585,3113.5971840186144,3129.336669921875,1245384
2023-11-03,3149.732529726521,3155.2272412387383,3114.621718793595,3120.768310546875,1402598
2023-11-06,3143.213340229435,3159.3252644555632,3128.3121806905697,3148.102783203125,1099852
2023-11-07,3146.0076050155294,3170.3615989894342,3134.8317343049944,3138.97607421875,1191144
2023-11-08,3139.907272278595,3168.312609208247,3138.137850435721,3149.313720703125,992899
2023-11-09,3157.2762132454977,3158.579973678366,3112.5261256846,3117.55517578125,2112352
2023-11-10,3108.754408421209,3117.5553602980613,3094.179302698473,3104.516845703125,1338557
2023-11-13,3125.518348524688,3125.518348524688,3098.509995691787,3102.74755859375,1030990
2023-11-15,3150.7569866293434,3178.603436184404,3125.564669561065,3170.5009765625,2059802
2023-11-16,3194.482754503449,3286.9631232989923,3179.7212020773018,3257.62646484375,3951984
2023-11-17,3257.6264533729463,3282.446106711715,3252.6903987151904,3261.910400390625,2021292
2023-11-20,3251.4794860942648,3291.200297423911,3251.4794860942648,3277.882568359375,1475621
2023-11-21,3277.8824969038105,3295.9966725893887,3260.5598088550396,3269.1279296875,1807236
2023-11-22,3259.6287255971747,3290.036314045069,3242.0268214284124,3287.7080078125,1798051
2023-11-23,3287.56827517058,3300.606789576356,3259.628601443918,3267.31201171875,2729804
2023-11-24,3254.273588142524,3263.8662551978136,3215.8565356961108,3219.675048828125,1989733
2023-11-28,3219.6747935926865,3242.166138837972,3197.229832568979,3231.828369140625,1689195
2023-11-29,3241.9335153053853,3276.3924466659996,3237.090683940245,3272.434326171875,1441634
2023-11-30,3259.1163570597796,3275.135057994798,3241.9335030426573,3248.080322265625,3266235
2023-12-01,3259.628942947853,3275.4148147825376,3250.3623289990637,3270.478759765625,1172141
2023-12-04,3301.212417878817,3304.146220363931,3257.7663114500283,3271.223876953125,1625213
2023-12-05,3295.0189667313125,3295.0189667313125,3262.2364605867833,3289.05859375,1377656
2023-12-06,3289.989790276004,3364.728417171479,3283.051256098317,3356.579345703125,1896572
2023-12-07,3357.4174498180882,3381.2127840148296,3345.030815693545,3366.637451171875,1967653
2023-12-08,3383.494818936944,3394.670689519725,3354.6704315335883,3377.62744140625,1641155
2023-12-11,3374.0883926549964,3402.121292502445,3366.731035421938,3392.71484375,1102503
2023-12-12,3389.0359467038065,3444.4030235404603,3381.6319783454765,3419.909423828125,2236866
2023-12-13,3393.3200297320063,3399.327014186455,3318.301959327764,3346.75390625,3850968
2023-12-14,3380.7005719171807,3425.404050554102,3378.465488934795,3415.392333984375,3290396
